h_code,a_code,a_name,h_name
00038,601038.SH,,
00107,601107.SH,,
00168,600600.SH,青岛啤酒,青岛啤酒股份
00177,600377.SH,,
00187,600860.SH,,
00300,000333.SZ,美的集团,美的集团
00317,600685.SH,,
00323,600808.SH,,
00338,600688.SH,,
00347,000898.SZ,,
00358,600362.SH,,
00386,600028.SH,中国石化,中国石油化工股份
00390,601390.SH,中国中铁,中国中铁
00470,300450.SZ,,
00501,603501.SH,,
00525,601333.SH,,
00548,600548.SH,,
00553,600775.SH,,
00564,601717.SH,,
00568,002490.SZ,,泸州老窖
00588,601588.SH,,
00598,601598.SH,,
00638,300638.SZ,,
00670,600115.SH,,
00699,600699.SH,,
00719,000756.SZ,,
00728,601728.SH,中国电信,中国电信
00753,601111.SH,,
00763,000063.SZ,中兴通讯,中兴通讯
00811,601811.SH,,
00857,601857.SH,中国石油,中国石油股份
00874,600332.SH,,
00883,600938.SH,,
00895,002672.SZ,,双汇发展
00902,600011.SH,,
00914,600585.SH,海螺水泥,海螺水泥
00916,001289.SZ,,
00921,000921.SZ,,
00939,601939.SH,,
00941,600941.SH,,中国移动
00956,600956.SH,,
00981,688981.SH,中芯国际,中芯国际
00991,601991.SH,,
00995,600012.SH,,
00998,601998.SH,,
01033,600871.SH,,
01053,601005.SH,,
01055,600029.SH,,
01057,002703.SZ,,
01065,600874.SH,,
01071,600027.SH,,
01072,600875.SH,,
01088,601088.SH,中国神华,中国神华
01108,600876.SH,,
01138,600026.SH,,工业富联
01157,000157.SZ,中联重科,中联重科
01171,600188.SH,,
01186,601186.SH,中国铁建,中国铁建
01211,002594.SZ,比亚迪,比亚迪股份
01276,600276.SH,恒瑞医药,恒瑞医药
01288,601288.SH,农业银行,农业银行
01304,688279.SH,,
01330,601330.SH,,
01336,601336.SH,,
01339,601319.SH,中国人保,中国人民保险集团
01347,688347.SH,,
01349,688505.SH,,
01375,601375.SH,,
01385,688385.SH,,
01398,601398.SH,工商银行,工商银行
01456,601456.SH,,
01513,000513.SZ,,
01528,601828.SH,,
01618,601618.SH,,中国中冶
01635,600635.SH,,
01658,601658.SH,邮储银行,邮储银行
01766,601766.SH,中国中车,中国中车
01772,002460.SZ,,
01776,000776.SZ,,
01787,600547.SH,,
01800,601800.SH,中国交建,中国交通建设
01812,000488.SZ,,
01816,003816.SZ,,京沪高铁
01858,688236.SH,,
01877,688180.SH,,
01880,601888.SH,中国中免,中国中免
01898,601898.SH,,
01919,601919.SH,中远海控,中远海控
01963,601963.SH,,
01988,600016.SH,民生银行,民生银行
01989,001389.SZ,,
02009,601992.SH,,
02016,601916.SH,,
02039,000039.SZ,,
02050,002050.SZ,,
02068,601068.SH,,
02196,600196.SH,复星医药,复星医药
02202,000002.SZ,万科A,万科企业
02208,002202.SZ,,
02218,605198.SH,,
02238,601238.SH,,
02315,688796.SH,,
02318,601318.SH,中国平安,中国平安
02333,601633.SH,长城汽车,长城汽车
02338,000338.SZ,潍柴动力,潍柴动力
02359,603259.SH,药明康德,药明康德
02402,688339.SH,,
02465,603906.SH,,
02476,300476.SZ,,
02493,688062.SH,,荣盛石化
02579,300919.SZ,,
02600,601600.SH,,
02601,601601.SH,中国太保,中国太保
02603,002803.SZ,,
02607,601607.SH,,
02611,601211.SH,,
02628,601628.SH,中国人寿,中国人寿保险
02631,688234.SH,,
02648,603345.SH,,
02676,688052.SH,,
02691,603093.SH,,
02692,003021.SZ,,
02701,300077.SZ,,
02714,002714.SZ,牧原股份,牧原股份
02715,002747.SZ,,
02727,601727.SH,,
02768,002768.SZ,,
02865,002865.SZ,,
02866,601866.SH,,
02880,601880.SH,,
02883,601808.SH,,
02899,601899.SH,紫金矿业,紫金矿业
03200,301200.SZ,,
03268,002881.SZ,,
03288,603288.SH,海天味业,海天味业
03296,603296.SH,,
03328,601328.SH,,
03347,300347.SZ,泰格医药,泰格医药
03369,601326.SH,,
03606,600660.SH,,
03618,601077.SH,,
03678,001236.SZ,,
03750,300750.SZ,宁德时代,宁德时代
03759,300759.SZ,,
03866,002948.SZ,,
03898,688187.SH,,
03908,601995.SH,,
03958,600958.SH,,
03968,600036.SH,招商银行,招商银行
03969,688009.SH,,
03986,603986.SH,,
03988,601988.SH,中国银行,中国银行
03993,603993.SH,洛阳钼业,洛阳钼业
03996,601868.SH,,
06030,600030.SH,中信证券,中信证券
06031,600031.SH,三一重工,三一重工
06066,601066.SH,中信建投,中信建投证券
06099,600999.SH,,
06127,603127.SH,,
06160,688235.SH,,
06166,603083.SH,,
06178,601788.SH,,
06185,688185.SH,,
06196,002936.SZ,,
06198,601298.SH,,
06613,300433.SZ,,
06655,600801.SH,,
06680,300748.SZ,,
06690,600690.SH,海尔智家,海尔智家
06693,600988.SH,,
06806,000166.SZ,,
06809,688008.SH,,
06818,601818.SH,光大银行,中国光大银行
06821,002821.SZ,,
06826,688366.SH,,
06865,601865.SH,,
06869,601869.SH,,
06881,601881.SH,,
06886,601688.SH,,
06936,002352.SZ,,
09611,603341.SH,,
09696,002466.SZ,,
09927,601127.SH,,
09969,688428.SH,,
09980,605499.SH,,
09981,002130.SZ,,
09989,002399.SZ,,
09995,688331.SH,,
